archive_by_user,city,created_at,image_count,desc,image_count,mileage,platform,price,title,type,year
True,Kermanshah,Thursday 09AM,2,سفارشی فنلاند اصل که تعداد کمی ساخته شد.ساپورت کابل اوتوچی تا 256گیگ. با حافظه داخلی 32گیگ بایت.ساپورت کابل hd .گوشی اتیغه و کاملا سفارشی اروپاست.کیبردار تخصصی.,2,,mobile,500000,نوکیا e7 آکبند حافظه 32گیگ,,
True,Kermanshah,Thursday 07PM,0,"سیلور ۶۴ گیگ بدون هیچ ایرادی 
درج =۱
دوربین ۱۲مگاپیکسل FULL HD
دوربین جلو ۵مگاپیکسلHD
پای معامله تخفیف هم میدم اگه خواستید عکسش هم توی تلگرام میفرستم
فقط خریدار واقعی زنگ بزنه",0,,mobile,300000,ایفون ۶ اس پلاس طرح,,
True,Mashhad,Saturday 04AM,3,"سلام.یک عدد گوشی هوآویG525 بسیار تمیز 
معاوضه هم انجام میشود.",3,,mobile,250000,گوشی هوآویG525 تمیزززززز,,
False,Mashhad,Friday 09PM,5,یک عد گوشی فروشی دارم خیلی دوسش دارم .با کارتون و شاررژ معاوضه با اس شیش سرم میدم توافقی,5,,mobile,600000,گوشی z1,,
False,Karaj,Thursday 02PM,1,این گوشی در حال حاضر در گوشی فروشی ها با قیمت هفتصد هزار تومان بفروش میرسد.درشهریور 1395 خریده ام.یک سال گارانتی داره.,1,,mobile,550000,گوشی موبایل سامسونگ j5,,
False,Tehran,Monday 10PM,3,گوشی سالمه سالمه همه چیز تکمیل قیمت مقطوع,3,,mobile,500000,lg g2 32black,,
True,Tehran,Friday 12PM,1,در حد آک.بدون خط و خش.با گلس.معاوضه ندارم,1,,web,350000,ال جی مگنا در حد آک,,
True,Shiraz,Saturday 05AM,2,"گوشی ارزان قیمت تمام برنامه ها مثل واتس اپ و تلگرام و اینستاگرام و وایبر و لاین و .... روی گوشی قابل نصب هستند
کاملا سالم و با کارتون",2,,mobile,99000,گوشی موبایل سامسونگ استار اندروید,,
False,Tehran,Thursday 06PM,3,گوشی سالم تعمیر نرفتع درحدنو,3,,mobile,700000,Apple 5 c,,
False,Karaj,Tuesday 06AM,5,"گوشی بسیار تمیز و سالم میباشد در حد نو بدون هیچ خط و خشی و کم کارکرده
گوشی از نوع   LLA سفارش امریکا میباشد
رنگ گوشی مشکی میباشد",5,,mobile,1000000,گوشی i ghone  .....5s,,
False,Tabriz,Monday 04PM,2,گوشی خودستی است ودارای گارانتی وتابرج6سال بعدگرانتی داره.چون گوشی اضافی دارم میفروشم.لطفا فقط اس بدیدممنونم,2,,mobile,420000,ال جی جی3 استایلوس,,
False,Karaj,Sunday 09PM,2,مدل گوشی A5 ...2016 گلد.. تمیز بدون خط و خش..7 ماهه خریدمش,2,,mobile,1000000,2016..A5,,
True,Mashhad,Sunday 08AM,4,یک دستگاه گوشی ایفون فایو اس ۱۶ گیگ سالم و بدون خط و خش با کارتن و تمام لوازم جانبی.تعویض با سامسونگ اس فایو سالم و تمیز.طوریکه ۲۰۰ تومن سر بگیرم.,4,,mobile,-1,Iphone 5s,,
True,Tehran,Monday 12PM,3,8 گیگابایت حافظه داخلی – باطری اصلی و سالم – تک سیم کارت – دوربین 5 مگاپیکسل – صفحه تاچ -بدون هندزفری و جعبه – سالم و بدون زدگی – قابلیت اتصال به اینترنت,3,,web,100000,نوکیا  X6,,
True,Kermanshah,Friday 05PM,1,"گوشی سالم سالم میباشد 
معاوضه با گوشی ارزان تر
فقط فقط اس ام اس جواب میدم تماس پاسخگو نیستم",1,,mobile,320000,هواوی p6,,
False,Tehran,Wednesday 04PM,0,تمیز باشه یا سفید باشه یا سورمه ای مرسی ممنون,0,,mobile,450000,سامسونگ A5 -2015 سفید میخوام مصرف شخصی,,
True,Tehran,Tuesday 09AM,2,"گوشى آیفون 4s 
16GB
سالم و بدون خط و خش",2,,mobile,380000,iphon 4s,,
False,Tehran,Thursday 03PM,4,گوشی کاملا سالم به شرط لوازم بدون نقص با گلس فقط یک خش کوچک که در عکس مشخصه بقیه نقاط گوشی سالم معاوضه ندارم اس ام اس پاسخگو نیستم فقط تماس.فقط مصرف کننده.,4,,mobile,1650000,سیکس اس سفید  16در حد واقعی,,
False,Mashhad,Friday 03PM,0,"دوربین 8 ، اینترنت 3g , فقط یه ایراد داره که گاهی مواقع هنگ میکنه ، خیلی کم اما بقیه چیزا سالمه ،باطری ،تاج ال سی دی ، ...",0,,mobile,200000,گوشی سونی اکسپریا sp _ فقط پیامک,,
False,Tabriz,Saturday 03PM,0,"چند تا رنگ رفتگی کوچیک داره سالمه سالمه 
به مشتری واقعی تخفیفم میدم",0,,mobile,400000,سامسونگ j5 3g,,
True,Tehran,Friday 04PM,2,"سیستم عامل اندروید
در حد نو
#فورى
رنگ مشکى",2,,mobile,-1,گوشی موبایل HTC CHACHA,,
False,Mashhad,Monday 04PM,2,سالم همه چی هم اصلیه فقط به خاطر دوتا گوشی دارم میفروشم,2,,mobile,100000,smart,,
True,Tehran,Saturday 11AM,1,"2ماه کارکرد
کاملا سالمه.

واسه تنوع تعویض میکنم.

.با 4S . پنجاه هزار سر میدم کسی داشت.
   فقط تلگرام هستم.    sms.",1,,mobile,270000,جهت تنوع معاوضه یا فروش.J1Ace.فورجی دارد,,
True,Mashhad,Wednesday 09AM,0,سامسونگ گلکسی مگا 5.8 سالم ...عکس بیشتر و اطلاعات بیشتر خواستین تلگرام درخدمتم با گوشی یا وسیله های کاربردی یا موتور معاوضه میشود,0,,web,-1,گوشی گلکسی مگا فروش و معاوضه,,
False,Karaj,Tuesday 01PM,2,فوقالعاده گوشی خوش دستی است. سالم سالم.خیلی کم کارکرده در حد نو.,2,,mobile,580000,htc1 mini2 رزگلد,,
False,Shiraz,Sunday 04PM,2,"واقعا تمیزه بدون خط و خش 
دوربین هشت
چهار هسته1.6Gh
 رم1
حافظه8",2,,mobile,200000,گوشی huawei.y560.u02,,
False,Mashhad,Sunday 06AM,2,دیموs47.دوسیم‌کارت.اندروید۴.۲*جی‌لیکس‌.دوسیم‌کارت.بدون‌هنزفری.ساده*سونی‌اریکسون‌.تک‌سیم‌کارت*به‌صورت‌تکی‌هم‌به‌فروش‌میرسد,2,,mobile,220000,سه‌عددگوشی.دیمو.جی‌الیکس.سونی‌اریکسون,,
True,Mashhad,Tuesday 09PM,0,"اندروید ۴.۱.۲
گوشی مخصوص پخش موزیک می‌باشد و دارای دو اسپیکر با کیفیت استریو و دارای سیستم SRS 
حافظه ۴گیگ 
بسیار خوش دست و جمع و جور مناسب برای کسایی که گوشی دوم میخوان.",0,,mobile,165000,گوشی Samsung Galaxy Music دو سیم کارت,,
True,Tehran,Monday 03PM,0,گوشی ٣ماه کار کرده کاملا نو میباشد بدون هیچگونه خطو و خش حتی از دکمش کم استفاده شده همیشه دکمه مجازی داشته است.رنگ گری و ١٦ گیگ.همراه با بهترین گلس بازار و قاب ٣٦٠ درجه کربنی.,0,,mobile,1900000,Apple 6s,,
True,Tehran,Thursday 05PM,3,"پلمپ و آکبند
گارانتی 18ماهه پارس مایکروتل
گلد پلاتینیوم
دو سیم کارته
تخفیف جزئی",3,,mobile,2150000,گوشی samsung S7 edge Dous,,
False,Karaj,Monday 07AM,3,"بسیار تمیز بدون کوچکترین ضربه 
دور گوشی و پشت بدون خش",3,,mobile,1050000,Apell 5s 16g gery,,
False,Tehran,Wednesday 07AM,2,بسیار سالم و بدون خط و خش,2,,mobile,999000,آیفون 5s 32g,,
False,Shiraz,Friday 06PM,0,"20روز پیش خریدم با ضربه گیر اصلی و کابر   



با تشکر از دیوار که همه معاملات این سایت بدون کلک و با ضداقت انجام پذیر است",0,,mobile,360000,سامسونگ جی تو,,
True,Karaj,Thursday 10AM,3,"درحدنو
تخفیف هم به مشتری واقعی داده میشه",3,,mobile,1750000,آیفون  6   128g,,
False,Mashhad,Monday 08PM,3,گوشی galaxy note3 4g چهار هسته ای هست ساخت ویتنام با ده تا قاب قیمت همینه خریداری یه تخفیف ریزی هم واست دارم,3,,mobile,900000,گوشی galaxy note3 4g,,
False,Tehran,Monday 07AM,3,گوشی فوق العاده تمیز برای مصرف کننده تخفیف جزئی,3,,mobile,1300000,گوشی سامسونگ اس ٦ اج,,
True,Karaj,Friday 07AM,5,"گوشی کاملا نو با پلمپ فرقی نداره 
قیمت  مقطوع
رنگ مشکی
دلال و موبایل فروس نیستم
فقط خریدار تماس بگیره
ليبل گارانتيش هنوز هست فاكتور خريد هم هست فقط نقدي تعويض ندارم",5,,mobile,1880000,Iphone 6s 16g,,
True,Shiraz,Wednesday 06AM,3,"دوره گوشى ضربه زیاد داره
تخفیف هم داره",3,,mobile,220000,گوشى موبایل هوآوى G6,,
True,Tehran,Saturday 03PM,2,"6اس پلاس 64 گیگ ال ال ای مشکی در حد.سالم.تعمیر نشده همراه با گلس ضد ضربه رو
 زیر قیمت معامله لوازم نو استفاده نشده
تماس از ساعت 14 تا ساعت 23
با تشکر از سایت دیوار",2,,web,2200000,6s plus 64gb LLA,,
True,Tehran,Wednesday 01PM,0,"ایفون فایو اس ١٦ گیگ در حد 
مشکی
معاوضه فقط با htc a9 در حد(در صورت تمیز بودن)",0,,mobile,870000,Iphone 5s 16,,
True,Karaj,Saturday 10AM,2,سفید سالم و تمیز ۱۶ گیگ دوسیم ۴جی دوگیگ رم دوربین ۱۳ و ۵ فول اچ دی صفحه ۵ونیم فول اچ دی. فقط دکمه هوم و بکش کار نمیکنه که با نرم افزار حل شده. با جعبه و شارژر. معاوضه هم میکنم فقط اس بدید و بگید واسه کدوم گوشی.,2,,mobile,399000,lenovo k3 note dual 4G,,
True,Ahvaz,Sunday 05PM,2,"سلام. اس٥ گلد تمیز ٣٢گیگ LLA 
فروش ویا تعویض 
با اپل ٦- ٦٤گیگ
با اپل اس٦-٣٢گیگ یا ٦٤گیگ 
اختلاف قیمت و پول سر میدم.",2,,mobile,950000,اپل اس٥ گلد ٣٢گیگ,,
True,Shiraz,Thursday 10AM,4,رنگ مشکی 16 گیگ اندروید 6 بهمراه بک کاور و ضد ضربه,4,,mobile,400000,نکسوس 5,,
False,Shiraz,Thursday 12PM,3,"سونی z5 دوسیمکارت
LTE-4G
رنگ سبز(خاص ترین رنگ سری z)
ضد اب؛ دوربین ٢٣ مگاپیکسل
پک سفارشی 007 spectre
شامل فست شارژر؛ محافظ ال سی دی و هندزفری MH750
مدت کارکرد: کمتر از دو ساعت
کلیه لوازم جعبه پلمپ و دست نخورده هستن؛ حتی شارژر
**تعویض ندارم/ قیمت مقطوع و فیکس**
((فقط پیامک لطفا))",3,,mobile,1250000,Sony z5 dual,,
False,Tehran,Wednesday 05PM,0,دسته خودم بوده اصلیه به شرط تا حالا تعمیر نشده باز نشده . ۱۶ گیگه بر نامه فول میریزم . دلیل فروشم میخوام ایفون ۷ بخرم با اکبند فرقی نداره فقط باید دید خیلی تمیزه از همه مهمتر اصلی و سالمه$NUM,0,,mobile,1050000,ایفون فایو اس ۱۶ مشکی اصلی به شرط در حد,,
False,Tehran,Friday 06PM,3,سامسونگA800 به قیمت رسیده و2سیمکارت با همه متعلقاتش ،,3,,mobile,350000,سامسونگ Galaxy  A800 نوی نو 2سیم کارته,,
False,Kermanshah,Thursday 08AM,1,گوشی تمییزیه. هیچ اشکالی نداره. خریدار واقعی باشه تخفیف هم میدم. دوربینش ۵ .,1,,mobile,150000,سونی Xperia mirro,,
False,Tehran,Thursday 12PM,2,رنگ مشکی ۶۴گیگ,2,,mobile,-1,ایفون ۶ بسیار سالم بدون خط وخش,,
False,Qom,Monday 10PM,1,"سلام 
سالمه تمیزه یه خالم روش نیست
۴G
اندروید۵ولی ٦ هم میشه 
گارانتیم نداره 
قیمت ٦٣٠کمتر نمیدم یاعلی",1,,mobile,-1,j5.2016,,
False,Kermanshah,Saturday 08PM,0,خدایی گوشی تمیزه فقط به خاطر خرج ماشین میفروشم تصادفیه,0,,mobile,800000,گوشی جی۷ یک هفته کار۲۰۱۶باگاردرنگ گلد,,
False,Tehran,Sunday 02PM,4,گوشى تمیز و بدون خط و خش همراه با قاب اورجینال اپل که٣ هفته پیش از اپل استور دبى خریدارى شده ، هدفون گوشى به دلیل داشتن هدفون دیگر اکبند میباشد,4,,mobile,2280000,Iphone 6s 64 silver/LLA,,
True,Tehran,Sunday 09AM,3,"رنگ سفید 
1ساله خریداری شده 
تاچ و صفحه نمایش تعویض شده 
بدون خط در پشت و رو گوشی",3,,mobile,-1,iphone 6 16g,,
True,Tehran,Tuesday 05PM,1,"در حد نو
خوش دست راحت فروش فوری",1,,mobile,320000,گوشی موبایل کوربی ۲,,
False,Tehran,Wednesday 09PM,2,"سلام گوشی سالمه سالمه بدون یک ذره خطو خش . دوربین 13 رم 1 . otg ساپورت میکنه. بدون هیچ گونه هنگ. معاوضه دارم با گوشی های z2,htc one m8,s5 مابقیشم سر میدم. ممنون از دیوار.",2,,mobile,300000,گوشی سونی T بسیار تمیز. معاوضه و فروش,,
True,Karaj,Thursday 05PM,2,گوشی درهده اکبند 16gمیباشد,2,,mobile,1750000,گوشی اپل6sکم کارکرد,,
False,Tehran,Wednesday 01PM,2,گوشی سالم کارتون هنزفری شارژر در حد,2,,mobile,220000,گوشی huawei G525,,
False,Mashhad,Thursday 02PM,1,"سلام
ایفون5s
حافظه16
در حد نو
بدون خط و خش
فوری",1,,web,800000,گوشی موبایل اپل 5s,,
True,Tehran,Sunday 04PM,2,"گوشی نو و بدون خط و خش و ضربه
سالم و بازنشده و 3g
دو قاب اضافه
جعبه هم دارد",2,,mobile,480000,سامسونگ j5,,
True,Qom,Thursday 10AM,3,"یکدستگاه آیفون سیکس اس بسیار تمیز و سالم تا به حال تعمیر و باز هم نشده!حافظه ١٢٨گیگ!رنگ خاکستری!هنذفریش هم پلمه هنوز!پارت lla,!اصلیه ب شرط و رفرش نیست!خیلی هم کم استفاده شده گوشی!همه چیش هم تکمیله!معاوضه هم میکنم برای تنوع با گوشی های رده بالا!",3,,mobile,-1,Iphone 6s,,
True,Mashhad,Sunday 11AM,0,"سلام
گوشی سونی مدل xa بسیار تمیز
مشخصات خیلی قوی و جدید
پردازنده 8 هسته ای
رم 2
دوربین 13 سلفی 8
دو سیم کارت فورجی
رنگ گرافیت بلک
فروش به بالاترین قیمت پیشنهادی
قیمت های خودتون رو واسم تلگرام یا پیامک کنید
$NUM",0,,web,-1,سونی xa در حد اک,,
False,Kermanshah,Monday 09PM,0,"هیچ مگلی نداره
یکم در پشتش خش داره",0,,mobile,150000,y330,,
False,Qom,Monday 11AM,2,ساده تمیز یکماه کارکرده,2,,mobile,60000,گوشی موبایل نوکیا,,
False,Karaj,Saturday 11PM,0,یک عدد honor  5x به رنگ سیلور بدون کوچیکترین خط و خش موجود میباشد قصدـمعاوظه با galaxy s5 با lg g3رو دارم  که همراه گوشی یک عدد آمپلی ماشین هم بعنوان سر داده میشود,0,,mobile,600000,honor5x sliver 16GB,,
True,Tehran,Thursday 05AM,0,بدون خط و خش . کم کارکرد در حد  نو نو 16 گیگ واقعا کم کارکرد انگاری گوشی نو نو می خریدی,0,,mobile,1700000,اپل 6s,,
True,Karaj,Monday 01PM,0,گوشی یک سال کار کرده،می خوام m8 بگیرم,0,,mobile,-1,HTC ONE MINI2 ROSE GOLD,,
False,Isfahan,Wednesday 02PM,1,دوربین جلو ندارد,1,,mobile,430000,سامسونگ A5 2015,,
False,Qom,Tuesday 05PM,2,هوآوی  G610 کم کارکرد به شرط میدم بامشورتی که ازتعمیرگاههای مجاز قبل ازخریدش گرفتم  سری اول هوآوی بهتره. تخفیف کوچکی هم پای معامله,2,,mobile,300000,هوآوی G610در حد آک سری اول به شرط,,
False,Tehran,Saturday 07AM,1,سلام ،گوشی ماکروسافت ۵۳۵ دوسیم دوربین عقب و جلو ۵ باکیفیت ماکروسافت ، قیمت ۲۵۰ ، به خریدار واقعی تخفیف میدم ، برای اطلاعات بیشتر تماس بگیرید یا تلگرام کنید، با تشکر از دیوار,1,,mobile,250000,ماکروسافت ۵۳۵,,
False,Tehran,Saturday 08PM,2,"گوشى کاملا سالم
دوماهه خریداری شده
با تمامی لوازم و کارتن
گوشی دوم بوده و کم استفاده شده
در حد آک
تخفیف جزی هم داره",2,,mobile,300000,J1 4g,,
False,Tehran,Thursday 01PM,2,سلام این گوشی از اول دسته خودم بوده الان من این گوشی یک ساله دارمش  هنوزم اینه روزه اولش کار می کنه,2,,mobile,500000,معاوزه با موتور مینی,,
False,Tehran,Friday 07PM,1,معاوضه با ایفون SE سر تا ۳۰۰ هم سر میدم,1,,mobile,920000,سامسونگ اس 5  در حد تمیز خیلی نو,,
False,Shiraz,Friday 09AM,1,گوشی کاملنه سالم,1,,mobile,1300000,گوشی موبال سامسونگ,,
True,Isfahan,Friday 08PM,1,"یک عدد گوشی موبایل N97کاملا سالم ب همراه کارتن و خانگی,از قبل دست خودم بوده,مشتری واقعی تماس بگیره,باتشکر از سایت دیوار",1,,mobile,190000,گوشی موبایل N97,,
True,Tehran,Monday 12PM,2,گوشی در حد آکبند کارتون لوازم تکمیل معاوضه با گوشی آیفون 5s سالم یا 6,2,,mobile,-1,گوشی نوکیا 8800 سیلور,,
True,Isfahan,Friday 07AM,2,تایوانی ،پارت اروپا،بسیار تمیز،هندزفریش صرفا واسه تست باز شده و اصلا استفاده نشده،گوشی دوم بوده،دوتا بک کیس ژله ای هم همراش داره قیمت مقطوعه معاوضه هم با گوشی های لومیا1520،950وبلک بری پرایو دارم,2,,mobile,1000000,HTC M9,,
True,Ahvaz,Tuesday 08PM,4,"فروش ایفون 5s 16 gig gold
اصل lla وبشرط بازنشده وصحیح وسالم
هندزفری هنوز پلمپ می باشد..
*گوشی فقط بشرط فروش*",4,,mobile,820000,apple 5s 16gig gold,,
True,Tehran,Monday 11AM,3,"نوت ۵ گلد
۳۲ گیگ دو سیمکارته
همراه با شارژر و جعبه و هندزفری سالم
کاملا سالم از لحاظ کارکرد و نرم افزاری تضمین میدم
تست کنید
فقط دوتا خش ریز رو دوتالبش هست
کمتر هم میدم
فقط قیمت یا درخواستتونو لطفا پیامک کنید",3,,mobile,1600000,۳۲G gold  note 5 نوت۵,,
True,Isfahan,Sunday 09PM,0,رنگ سفید ۴جی با گارانتی پلمپ,0,,mobile,700000,جی۵ فورجی اکبند,,
False,Tehran,Saturday 12PM,1,"نسخه ۳۲گیگ،رم۳/خاکستری/دوسیم کارت/رام گلوبال
با ۳ماه کارکرد",1,,mobile,700000,شیائومی ردمی نوت3(Qualcomm),,
False,Mashhad,Tuesday 08PM,2,معاوضه با نوت 3یا 4 برای فروش قیمت مقطوعه تک سیم کارت بدون خط و خش,2,,mobile,450000,note2,,
False,Tehran,Sunday 05PM,1,"گوشی سونی Xperia p با جعبه کاملا سالم 
گوشی LG اندروید کاملا سالم 
جمعا 300 تومان 
$NUM",1,,mobile,300000,سونی اکسپریا پی,,
False,Tehran,Sunday 10AM,0,گوشی بسیار سالم و تمیز,0,,mobile,1200000,گوشی اپل ٦گلد١٦گیگ,,
True,Tehran,Thursday 09AM,1,"پردازنده‌ی 4 هسته‌ای، 2 گیگابایت رم، حافظه‌ی داخلی 8 گیگابایت، دو سیم‌کارت همزمان، پشتیبانی 3G، رم‌خور، صفحه‌ی نمایش 5 اینچ کیفیت HD، دوربین پشت 8 مگاپیکسل و جلو 5 مگاپیکسل، ...
مشکی کاملا سالم و تمیز بدون تعمیر شدگی بهمراه قاب ژله ای و صفحه گلس و دارای کارتن بعلت خرید گوشی مدل بالاتر به فروش می رسد .",1,,web,330000,هواوی هانر3cu10 سالم و درحد,,
False,Qom,Sunday 01PM,1,گوشی ساده فروشی,1,,mobile,25000,نوکیا ساده,,
True,Tehran,Wednesday 08AM,2,"سامسونگg900fیا همان s5 4g صحیح و سالم به همراه شارژ و هنسفری اصلی .
از اول هم گلس روش انداختم.
6ماه کارکرد میباشد.
اندروید6.0.1
حافظه داخلی 16g
رنگ نوک مدادی",2,,mobile,800000,s5 4g سامسونگ,,
True,Tehran,Saturday 08PM,3,٤اس ١٦گیگ در حد آک بدون خط و خش قیمت مقطوع تماس فقط از طریق اس امس,3,,mobile,360000,iphone 4s,,
True,Tehran,Saturday 08PM,1,"معاوضه با گوشی هم رده
سوالی بود تلگرام درخدمتم",1,,mobile,230000,معاوضه گوشی گرندنئوپلاس سامسنگ,,
False,Tehran,Wednesday 07PM,1,گوشی واقعاسالم بدونه خط و خش، شارژر و هندزفری فابریک,1,,web,-1,گوشی موبایل htc desire 826 dual sim,,
True,Kermanshah,Wednesday 04PM,3,"سلام
زرد رنگه (عکساش توی تصویر هست)
خییلی شیکه 
در حد آکبند و نو
بدون هیچ خط و خشی
کاملا تضمینی
قیمت مقطوعه
برای خرید پیامک بفرستید",3,,mobile,120000,موبایل نوکیا 206,,
False,Mashhad,Friday 02PM,0,"سالم 
معاوضه با اپل 5s",0,,mobile,400000,سامسونگ گرند پرایم گلد,,
True,Tehran,Monday 02PM,0,"بسیار تمیز در حد اک بدون ضربه عروسک 
دیدن کوشی مساوی است با خریدش همه ی وسایلم داره",0,,mobile,600,سامسونک  s5,,
False,Karaj,Monday 04AM,2,"نوکیا$NUM
فنلاند ، بدون تعمیر ، ضربه
از 84 دستمه  ، شارژر اصلی آمپر بالا
بشرط 

در حد نو",2,,mobile,150000,Nokia 11 00,,
False,Karaj,Wednesday 08PM,0,4G سالم سالم نو نو,0,,mobile,650000,گوشی سامسونگ j7,,
True,Isfahan,Thursday 10PM,2,موبایل سامسونگ مدلi۹۱۹۰ دوسیم کارت تلوزیون دارسالم ساخت کره.برنامه جاواولی واتساپ هم داره به قیمت$NUMتومان به فروش میرسد.تخفیف پای معامله.تماس فقط ازطریق پیامک ویاتلگرام درخدمتتون هستم.باتشکر,2,,mobile,150000,سامسونگ مدلi9190تلوزیون دار,,
False,Karaj,Thursday 06AM,0,گوشی در حد نو,0,,mobile,1000000,سامسونگ گلکسی s5,,
False,Mashhad,Friday 10AM,3,گوشی تمیز وسالم و رفلش هم نیست,3,,mobile,1100000,iphone5s 32gb,,
True,Kermanshah,Tuesday 01PM,2,سلام گوشی فورجی دو سیم کارت 32گیگ تا 128گیگ رم ساپورت میکنه بدون خط خش با اکبند فرقی نداره تعویضم دارم با بالا رده سر میدم,2,,mobile,950000,LG G4,,
True,Mashhad,Friday 11AM,1,جفتش باهم30تومان فقط هردو باطری میخوادودرپشتش بسته نمیشه باچسب نواری بستمش.نوکیا یک سیم کارت میخوره وجی ال ایکس دوسیم کارت.$NUM,1,,mobile,30000,گوشی نوکیاوجی ال ایکس,,
False,Shiraz,Sunday 04PM,2,بسیار تمیز،بدون هیچ خط و خش،هنوز دوماه گارانتی دارد.کارکرد بسیار کم,2,,mobile,820000,گوشیSamsung A7 2015,,
True,Tehran,Tuesday 04AM,2,قاب فابریک میباشد,2,,mobile,60000,گوشیn70المانی,,
False,Tehran,Friday 08PM,0,کاملا سالم وبدون تعمیر,0,,mobile,1350000,اپل 6 ،  16گیگ,,
True,Tehran,Sunday 06PM,1,نوکیا لمسی ودکمه ای دوربین 5 اصل فنلاند فنلاند,1,,mobile,-1,نوکیاx3لمسی ودکمه ای خیلی تمیز,,
False,Tehran,Friday 03PM,2,گوشی siii mini  اصل با کاغذ خرید و جعبه و هندزفری  . یک سال شده دستم بوده راضی بودم ازش. مهلت تست به خریدار می دهم .,2,,mobile,250000,گوشی siii mini,,
False,Tehran,Wednesday 06PM,2,"آیفون$NUMگیگ بسیار تمیز با تمام لوازم جانبی
هندزفری تاحالا استفاده نشده، شارژر و کابل اصلی و VPN یک ساله، قاب ژله ای و اپل آیدی هرچی داره کلا روشه فقط دکمه پاورش مشکل داره که اونم توی همه آیفون ۴ ها اتفاق میوفته و قابل تعمیره",2,,mobile,400000,ایفون ۴ بسیار تمیز بدون خط و خش,,
False,Mashhad,Tuesday 05PM,4,سلام گوشی ها هردو سالم وکم کار.3G.دوسیم.فروش تضمینی.,4,,mobile,-1,گوشی سامسونگ وال جی توافقی,,
True,Tehran,Saturday 12PM,3,"گوشی کاملا سالم و در حد اک 
خیلی تمیز نگهش داشتم
چندتا قاب رنگی هم داره
لمسیه و جاوا
اسلامشهر هستم
لطفا تماس بگیرید",3,,mobile,100000,گوشی نوکیا لمسی,,
True,Karaj,Sunday 10AM,3,گوشی خیلی خوبیه سالم سالم.فقد فروشی معاوضه نداره.اندریدش6.دوربینش21.تخفیف میدم تو مامله.از طریق اس ام اس و تلگرام اطلاع رسانی کنید تا عکساشو بفرستم.فقط مارلیک وفردیس تحویل میدم گوشی رو,3,,mobile,690000,گوشیSony z3plus,,
True,Tehran,Tuesday 04PM,2,معاوضه سامسونگs5 با اپل۶ تمیز به شرط..,2,,mobile,850000,معاوضه با اپل۶,,
True,Ahvaz,Friday 12PM,0,"١٦ گیگ گلد بسیار تمیز با کاور مشکى و شیشه اى
فروش فورى دلیل فروش خرید ایفون ٧",0,,mobile,1400000,گوشى ایفون ٦,,
True,Tehran,Wednesday 08AM,0,فروش یا معاوضه با گوشی موبایل یک عدد خط همراه اول رند به شماره 0918.138.5002 تلگرام هم درخدمتم تشکر از دیوار,0,,mobile,-1,فروش یا معاوضه با گوشی موبایل,,
True,Isfahan,Friday 09PM,0,سلام فروش اپل ٥اس ٣٢گیگ گلد تمیزیش خوبه lla و با تمام لوازم اکی,0,,mobile,930000,apple 5s gold 32gig,,
